file_id,Sound_mean,Sound_std,Sound_rms,Sound_max,Sound_min,Sound_pk_pk,Sound_skewness,Sound_kurtosis,Sound_shape_factor,Sound_crest_factor,Sound_impulse_factor,Sound_dominant_frequency,Sound_spectral_centroid,Sound_spectral_bandwidth,Sound_spectral_entropy,Sound_spectral_energy,Sound_band_1_energy_ratio,Sound_band_2_energy_ratio,Sound_band_3_energy_ratio,Sound_band_4_energy_ratio,Sound_band_5_energy_ratio,Sound_band_6_energy_ratio,Sound_band_7_energy_ratio,Sound_band_8_energy_ratio,Health label,Operating frequency
BF_10HZ,-0.011602541065624998,0.005613800506542105,0.00561358121317666,0.023284141065625,-0.020626158934375,0.0439103,-1.4551915228366852e-13,3.725290298461914e-11,1.2513789928585268,4.147822963142088,5.19049852309685,476.0,533.5334586949864,792.5770163523198,7.108487871171988,2581.4871361089167,0.9624175480046848,0.023131828543734707,0.006111229054998715,0.0024293327728625537,0.004049333679887751,0.0009806164249354142,0.0008197912196302381,6.031363363838481e-05,BF,10HZ
BF_10HZ,-0.01161352876796875,0.006036495686774827,0.006036259881556403,0.02329512876796875,-0.02019499123203125,0.04349012,5.820766091346741e-13,1.1175870895385742e-10,1.2449425962622735,3.8591991102449152,4.804481360597298,496.0,498.10611903730967,714.9998360473688,6.790608469798362,2984.8726306322246,0.9714456571680168,0.016785870417368145,0.005023752980613407,0.0020308657518770534,0.0033669663379245606,0.0007323734249032808,0.0005740652278830497,4.044201074043518e-05,BF,10HZ
BF_10HZ,-0.012129147575,0.005769773575097903,0.005769548188915466,0.020432917575,-0.019679372425,0.04011229,5.820766091346741e-13,0.0,1.2443450356759227,3.5415108605409493,4.40686145887031,496.0,491.9006248031216,749.6877421877286,6.82804806133953,2726.9272667338482,0.9692831983552019,0.017763105523289784,0.005625986002119699,0.0021129528840014167,0.0036769072331128017,0.000861111960706444,0.0006216861271017128,5.504847298731465e-05,BF,10HZ
BF_10HZ,-0.013332847334375,0.005135534725844091,0.005135334115100608,0.017551037334375,-0.017288142665625,0.03483918,5.820766091346741e-13,0.0,1.246686302159878,3.4177011539225717,4.260801214300982,496.0,518.8674009779314,900.9233908635613,7.156404030992312,2160.3661372563733,0.9549290943926035,0.025546564532972212,0.008406681051158533,0.003556641654211083,0.005239634791540728,0.001280918809944201,0.0009383702526345113,0.00010205847516680016,BF,10HZ
BF_10HZ,-0.012278751374218749,0.00585720541523836,0.005856976613682959,0.020570601374218747,-0.01982031862578125,0.04039092,-1.1641532182693482e-12,-1.4901161193847657e-10,1.2509753442152045,3.5121535781191167,4.3936175320743756,2.0,462.5243424057877,788.5469471821417,6.637633715825365,2810.1980266324535,0.9645950095201645,0.02094949987056833,0.006126433439707648,0.0027280170344558758,0.004088016409521127,0.0008564849993494064,0.0006028969187890814,5.36373437532992e-05,BF,10HZ
BF_10HZ,-0.01104831589296875,0.005755410409178326,0.0057551855840680165,0.01934016589296875,-0.02105075410703125,0.04039092,2.9103830456733704e-13,0.0,1.2417337154783976,3.6577020490265326,4.541891956239847,496.0,497.33488439600035,808.4845032831857,6.845467226447481,2713.3674634130057,0.9653560280799071,0.020763478449229725,0.005399816370043863,0.002322739007594305,0.0038345541284165474,0.0010888779621470244,0.0011571700203633387,7.73171700316015e-05,BF,10HZ
BF_10HZ,-0.011357660962499998,0.005458209482146831,0.005457996266674488,0.0180537209625,-0.0220049290375,0.04005865,4.3655745685100554e-13,1.1175870895385742e-10,1.242842352243639,4.031686347575268,5.010750544647068,68.0,486.47755525702297,905.3140110055928,7.0056932025257375,2440.374131819794,0.960735306480874,0.02096351888076341,0.007441290438459852,0.0031869686823986503,0.004720324591667057,0.0012337824489807095,0.0016109449285388042,0.00010786074310701882,BF,10HZ
BF_10HZ,-0.01190665670078125,0.005443975030963796,0.005443762371535563,0.01860271670078125,-0.021455933299218747,0.04005865,-5.820766091346741e-13,0.0,1.2577202336759699,3.941379478183418,4.957152719217134,496.0,503.2970014766802,881.3446418757406,6.934860542750496,2427.6622342345945,0.9584288250512474,0.022555146052092148,0.008224154115346594,0.0036523109904354396,0.005064003813537056,0.001026704954874728,0.0009591159381074162,8.973908435708882e-05,BF,10HZ
BF_10HZ,-0.012128946308593751,0.0052254873817370135,0.005225283257149278,0.019896316308593752,-0.019132743691406252,0.039029060000000004,0.0,0.0,1.247392822488059,3.8077010040678148,4.749698903563752,56.0,545.2949182113624,871.4011896363673,7.072291516015342,2236.7096946199276,0.9563676722355708,0.025425195270401078,0.007461740347365792,0.0033228025569426453,0.005343360983025961,0.001115033965775771,0.0009065658501152248,5.762718230746643e-05,BF,10HZ
BF_10HZ,-0.011452692464062502,0.0051858854127706105,0.005185682835165003,0.019220062464062503,-0.017988217535937497,0.037208279999999996,-4.3655745685100554e-13,-1.30385160446167e-10,1.2489168043652938,3.7063706114114034,4.62894854069001,496.0,537.5869295085095,844.6649894753062,7.294146651117909,2202.9358266145564,0.9595730826202945,0.02404056774460193,0.006556830152818836,0.002838178796178083,0.004981618073827098,0.0010471457676928648,0.0009089217242995648,5.365435397782017e-05,BF,10HZ
